isbn10,NYT
316036242,1
439023483,1
439023491,1
763644102,1
385738935,1
1904994504,1
394721780,1
61658197,1
307381374,1
143910011X,1
385533136,1
316071900,1
1439148503,1
399155341,1
039915597X,1
393061027,1
785129219,1
078513915X,1
785131590,1
1401224164,1
61939897,1
786868724,1
1416595015,1
670021156,1
307268195,1
1421533049,1
1421523876,1
1421530732,1
075952968X,1
759529515,1
446698326,1
440243823,1
425231453,1
316168815,1
044653630X,1
61894567,1
61724882,1
316075809,1
805448853,1
1881273156,1
375842209,1
670034827,1
1595142614,1
1416983082,1
316013692,1
1596914521,1
030740577X,1
930289234,1
140120841X,1
188896314X,1
039333838X,1
143038257,1
60731338,1
1439168571,1
316010669,1
61235903,1
1416995439,1
082340417X,1
031605318X,1
761151125,1
316160202,1
810994739,1
1423103343,1
312379838,1
545060435,1
964729237,1
307473473,1
679766758,1
670020486,1
385341008,1
316036242,1
439023483,1
439023491,1
385738935,1
316042676,1
375413405,1
1904994504,1
143910011X,1
61658197,1
1401323251,1
385504225,1
316018783,1
1439148503,1
399155341,1
61929379,1
393061027,1
307377326,1
785129219,1
785131590,1
078513915X,1
61939897,1
786868724,1
1416595015,1
446539252,1
307268195,1
1421533049,1
1421530732,1
075952968X,1
759529515,1
1421532255,1
446567337,1
440243823,1
316044407,1
044653630X,1
425231453,1
61894567,1
316075809,1
61724882,1
307383202,1
805448853,1
375842209,1
1416983082,1
142414123,1
1416989560,1
1423134788,1
030740577X,1
930289234,1
1596914521,1
140120841X,1
1563890119,1
039333838X,1
143038257,1
60731338,1
316010669,1
806532254,1
61235903,1
1416995439,1
762424168,1
756655293,1
761151125,1
316027650,1
810993139,1
1423119509,1
312567480,1
006114097X,1
964729237,1
679766758,1
307454541,1
316168815,1
61537969,1
316036242,1
439023491,1
385738935,1
439023483,1
545123267,1
375413405,1
61583251,1
307465357,1
143910011X,1
61658197,1
385504225,1
399155341,1
316018783,1
345500776,1
399155961,1
393061027,1
785131590,1
1401224164,1
785129219,1
1401223036,1
786868724,1
61939897,1
316075841,1
60889578,1
670021156,1
1421530732,1
1421533049,1
075952968X,1
142152676X,1
759529515,1
515147605,1
446567337,1
316044407,1
141652455X,1
440245265,1
1605295620,1
014311638X,1
307591190,1
761148574,1
762424931,1
1423134788,1
142414727,1
375842209,1
1416983082,1
1416989560,1
1596914521,1
030740577X,1
930289234,1
140120841X,1
159582345X,1
039333838X,1
143038257,1
60731338,1
1416596364,1
316010669,1
61235903,1
756655293,1
1416995439,1
030796003X,1
761151125,1
316027650,1
810993139,1
1423119509,1
312567480,1
031259044X,1
316168815,1
307454541,1
679766758,1
143116533,1
964729237,1
316036242,1
439023491,1
439023483,1
385738935,1
545123267,1
1561486760,1
61583251,1
1439164967,1
307465357,1
375413405,1
399155341,1
385504225,1
307272400,1
765317680,1
316018783,1
393061027,1
785142746,1
1401224164,1
078513574X,1
785131590,1
670021652,1
786868724,1
805091742,1
61939897,1
670021156,1
1421531739,1
1421530732,1
1421533049,1
075952968X,1
142152676X,1
141652455X,1
446567337,1
316044407,1
312383347,1
515147605,1
014311638X,1
1605295620,1
307591190,1
761148574,1
1583333681,1
1416983090,1
375842209,1
142414123,1
1416983082,1
61767581,1
1607061813,1
930289234,1
030740577X,1
1582406723,1
140120841X,1
039333838X,1
143038257,1
143038419,1
1416596364,1
806532254,1
756655293,1
761151125,1
525479651,1
761147632,1
316013560,1
316027650,1
1423119509,1
810993139,1
312567480,1
399252053,1
316168815,1
1565129776,1
307454541,1
679766758,1
812971833,1
316036242,1
439023491,1
439023483,1
385738935,1
316042676,1
1561486760,1
61583251,1
1439164967,1
1885167717,1
375413405,1
399155341,1
399156135,1
385504225,1
316065781,1
446547565,1
393061027,1
1401224164,1
785129219,1
785131590,1
078514272X,1
61733636,1
670021652,1
786868724,1
61939897,1
670021156,1
1421531739,1
1421533049,1
1421530732,1
1421534134,1
075952968X,1
446567337,1
316044407,1
141652455X,1
312383347,1
515147605,1
014311638X,1
812981316,1
1605295620,1
761148574,1
805448853,1
375842209,1
1416983090,1
142414123,1
316013692,1
61767581,1
930289234,1
030740577X,1
394747232,1
1582406723,1
1607061597,1
039333838X,1
143038257,1
143038419,1
1416596364,1
074324754X,1
756655293,1
761151125,1
803730586,1
545153778,1
316013560,1
1423119509,1
316027650,1
810993139,1
312567480,1
375856501,1
1565129776,1
316168815,1
307454541,1
446567329,1
312606125,1
439023491,1
439023483,1
1423121716,1
385738935,1
385737424,1
61583251,1
375413405,1
1561486760,1
1885167717,1
307450732,1
399155341,1
399156119,1
385504225,1
60888741,1
399156135,1
393061027,1
1401224164,1
785129219,1
785131590,1
1401216676,1
61733636,1
670021652,1
670021156,1
786868724,1
61939897,1
1421534134,1
1421531739,1
1421533049,1
1421508222,1
759529515,1
446567337,1
316044407,1
141652455X,1
312383347,1
1439167516,1
014311638X,1
1401927181,1
160529442X,1
812981316,1
761148574,1
375842209,1
1416983090,1
61767581,1
142414123,1
316013692,1
1607061813,1
394747232,1
1595821627,1
030740577X,1
930289234,1
039333838X,1
143038257,1
074324754X,1
143038419,1
1416596364,1
316013560,1
1416985808,1
803730586,1
547074212,1
316015474,1
1423119509,1
316027650,1
810993139,1
312567480,1
61566144,1
316168815,1
1565129776,1
446567329,1
307454541,1
679766758,1
439023483,1
439023491,1
385738935,1
1423121716,1
385737424,1
1605296449,1
61583251,1
375413405,1
1561486760,1
61728977,1
399155341,1
385504225,1
399156119,1
553804863,1
399156135,1
393061027,1
785142746,1
1401224164,1
078514272X,1
785131590,1
61733636,1
446569895,1
031264065X,1
670021652,1
786868724,1
316080845,1
345517164,1
1421534134,1
1421531739,1
345514319,1
446567337,1
515147990,1
316044407,1
61795151,1
373774362,1
014311638X,1
1401927181,1
160529442X,1
761148574,1
802473156,1
375842209,1
61767581,1
1416983090,1
142414123,1
316013692,1
1607061813,1
930289234,1
394747232,1
1582406723,1
030740577X,1
039333838X,1
1400078458,1
143038257,1
60838655,1
1416596364,1
316013560,1
1423119908,1
1416985808,1
61544582,1
761151125,1
1423119509,1
316027650,1
810993139,1
312567480,1
375856501,1
1565129776,1
316168815,1
446567329,1
307454541,1
446547557,1
61968552,1
1423121716,1
439023483,1
385738935,1
439023491,1
1605296449,1
375413405,1
61583251,1
1414334729,1
61728977,1
316036226,1
399155341,1
042523567X,1
312364121,1
385504225,1
785129510,1
393061027,1
1401216676,1
078514272X,1
785127097,1
61733636,1
031264065X,1
446561932,1
446569895,1
1400052173,1
1421533057,1
1421531720,1
1421527669,1
316080845,1
1421530082,1
446567337,1
515147990,1
373774362,1
044640120X,1
316044407,1
014311638X,1
1401927181,1
761148574,1
160529442X,1
805448853,1
375842209,1
61767581,1
142414123,1
1416983090,1
1416983082,1
1607061813,1
394747232,1
030740577X,1
930289234,1
1401225659,1
1400078458,1
039333838X,1
143038257,1
60838655,1
1416596364,1
316013560,1
1416985808,1
547014945,1
803730586,1
61544582,1
1423101499,1
316027650,1
810993139,1
545060478,1
312567480,1
1565129776,1
446547557,1
446567329,1
307454541,1
316168815,1
61968552,1
1423121716,1
439023483,1
439023491,1
385738935,1
1605296449,1
1414334729,1
375413405,1
61583251,1
61728977,1
316036226,1
399155341,1
